Epoch,Discriminator_Real_Img_Dicision,Discriminator_Fake_Img_Dicision,Discriminator_Loss,Generator_Loss
14,"tf.Tensor(
[[-1.6868992 ]
 [ 6.3289943 ]
 [ 0.87356   ]
 [-0.23991239]
 [12.527685  ]
 [15.121235  ]
 [19.036211  ]
 [17.103584  ]
 [ 9.44013   ]
 [15.289997  ]
 [15.328042  ]
 [20.689823  ]
 [ 9.033158  ]
 [15.877622  ]
 [ 3.0502748 ]
 [ 5.0770783 ]], shape=(16, 1), dtype=float32)",-5.997292995452881,0.1950032114982605,5.999775409698486
15,"tf.Tensor(
[[ 1.2310336 ]
 [19.892395  ]
 [ 0.305342  ]
 [ 0.8100992 ]
 [-0.77312666]
 [12.622797  ]
 [ 2.8948872 ]
 [13.856327  ]
 [ 0.31988686]
 [ 1.1084336 ]
 [ 3.5549765 ]
 [ 0.15659916]
 [13.716832  ]
 [17.367304  ]
 [22.279161  ]
 [ 6.4717155 ]], shape=(16, 1), dtype=float32)",-3.1944210529327393,0.2815183401107788,3.234593391418457
16,"tf.Tensor(
[[13.377651  ]
 [24.173374  ]
 [16.276804  ]
 [ 8.496715  ]
 [20.30476   ]
 [12.63605   ]
 [ 1.0893466 ]
 [ 0.19615737]
 [ 8.800035  ]
 [ 2.1852877 ]
 [28.178875  ]
 [14.411244  ]
 [10.307035  ]
 [12.024363  ]
 [ 7.593991  ]
 [21.695051  ]], shape=(16, 1), dtype=float32)",-3.1424548625946045,0.10460434854030609,3.184725522994995
17,"tf.Tensor(
[[12.4113455 ]
 [ 8.40466   ]
 [14.20027   ]
 [11.809466  ]
 [ 2.2304156 ]
 [12.928491  ]
 [ 5.942232  ]
 [ 0.03311859]
 [ 0.43935543]
 [14.578961  ]
 [13.580623  ]
 [ 0.4600091 ]
 [13.892069  ]
 [10.152916  ]
 [13.706712  ]
 [-1.0341412 ]], shape=(16, 1), dtype=float32)",-3.299208641052246,0.23042398691177368,3.335456132888794
18,"tf.Tensor(
[[ 8.847937  ]
 [22.826109  ]
 [22.81374   ]
 [15.589173  ]
 [-2.1818264 ]
 [ 0.636088  ]
 [16.158365  ]
 [-0.9089581 ]
 [ 3.1564486 ]
 [26.74185   ]
 [15.855294  ]
 [19.418894  ]
 [ 0.51146793]
 [36.538578  ]
 [30.800488  ]
 [23.576933  ]], shape=(16, 1), dtype=float32)",-4.149601936340332,0.29519256949424744,4.165249347686768
19,"tf.Tensor(
[[10.704874  ]
 [22.783575  ]
 [-0.02696306]
 [-0.13876854]
 [11.303249  ]
 [ 4.608224  ]
 [-2.3287783 ]
 [-0.94947004]
 [24.857828  ]
 [ 9.6564245 ]
 [ 8.502037  ]
 [ 7.743596  ]
 [16.649252  ]
 [ 0.18505736]
 [ 4.418712  ]
 [10.875524  ]], shape=(16, 1), dtype=float32)",-5.522303581237793,0.36633309721946716,5.526292324066162
20,"tf.Tensor(
[[ 8.76911  ]
 [ 6.9460754]
 [11.667633 ]
 [ 1.5523964]
 [ 4.7923865]
 [ 5.1666884]
 [18.58676  ]
 [26.196657 ]
 [21.682022 ]
 [ 1.8533478]
 [ 8.593452 ]
 [ 9.23232  ]
 [ 3.692863 ]
 [11.091949 ]
 [17.002508 ]
 [ 1.3927029]], shape=(16, 1), dtype=float32)",-1.8658061027526855,0.18136924505233765,2.0097084045410156
21,"tf.Tensor(
[[ 1.1735031e+01]
 [ 1.5064501e+01]
 [ 9.2840776e+00]
 [ 2.3081081e+00]
 [ 1.3991710e+01]
 [ 6.9686203e+00]
 [ 7.7783499e+00]
 [-2.0794608e-02]
 [ 2.5043135e+01]
 [ 2.6864080e+01]
 [ 3.6424150e+00]
 [ 2.4062277e+01]
 [ 1.6371459e+00]
 [-9.7633564e-01]
 [ 1.5761321e+01]
 [ 1.6873657e+01]], shape=(16, 1), dtype=float32)",-5.585301876068115,0.14746402204036713,5.589047431945801
22,"tf.Tensor(
[[23.033829  ]
 [ 6.8901043 ]
 [ 8.257631  ]
 [13.083903  ]
 [ 8.892529  ]
 [ 3.7415974 ]
 [ 0.08208928]
 [21.392742  ]
 [ 1.2045304 ]
 [18.014906  ]
 [18.964466  ]
 [13.800974  ]
 [13.279288  ]
 [16.338676  ]
 [ 8.44461   ]
 [ 0.5199862 ]], shape=(16, 1), dtype=float32)",-5.439591407775879,0.09225884079933167,5.443923473358154
23,"tf.Tensor(
[[ 7.3065643 ]
 [13.592919  ]
 [ 6.664143  ]
 [15.732407  ]
 [15.192183  ]
 [ 4.5788465 ]
 [-1.2211803 ]
 [16.74331   ]
 [ 6.9176035 ]
 [15.759423  ]
 [ 2.9322124 ]
 [ 2.588891  ]
 [ 1.5497304 ]
 [12.387504  ]
 [ 2.7392359 ]
 [-0.92217237]], shape=(16, 1), dtype=float32)",-3.895163059234619,0.2157103419303894,3.9152989387512207
24,"tf.Tensor(
[[19.244621  ]
 [ 1.2800758 ]
 [16.864592  ]
 [15.567742  ]
 [ 0.21917272]
 [15.949363  ]
 [23.038765  ]
 [ 0.09606145]
 [15.26856   ]
 [ 6.1113296 ]
 [16.124651  ]
 [17.47695   ]
 [ 0.24084613]
 [ 7.2695565 ]
 [11.89177   ]
 [ 1.3725852 ]], shape=(16, 1), dtype=float32)",-3.0873868465423584,0.18773028254508972,3.13199782371521
25,"tf.Tensor(
[[18.25594   ]
 [15.681559  ]
 [23.350945  ]
 [10.899746  ]
 [18.314732  ]
 [ 9.273869  ]
 [ 4.723453  ]
 [ 6.2492394 ]
 [-0.14079157]
 [ 3.1698973 ]
 [22.374294  ]
 [ 3.0661044 ]
 [ 5.216422  ]
 [10.980696  ]
 [ 3.7902849 ]
 [19.736708  ]], shape=(16, 1), dtype=float32)",-3.777146100997925,0.07834066450595856,3.799776077270508
26,"tf.Tensor(
[[21.010216  ]
 [-0.27676103]
 [ 4.513318  ]
 [-1.7051452 ]
 [-0.7769271 ]
 [ 6.7694397 ]
 [-0.17179716]
 [ 5.573147  ]
 [ 2.3283865 ]
 [ 6.5118523 ]
 [11.41445   ]
 [16.697794  ]
 [ 1.2605886 ]
 [ 0.9831141 ]
 [ 2.1948912 ]
 [11.796993  ]], shape=(16, 1), dtype=float32)",0.2104397714138031,1.1435500383377075,0.5934527516365051
27,"tf.Tensor(
[[ 3.857772 ]
 [11.82785  ]
 [-0.6807303]
 [ 8.28819  ]
 [ 1.1498165]
 [ 3.3960226]
 [-2.9282198]
 [16.184364 ]
 [19.855566 ]
 [ 1.6548424]
 [12.192404 ]
 [-2.2030702]
 [ 8.235237 ]
 [ 6.71601  ]
 [13.052863 ]
 [ 9.767147 ]], shape=(16, 1), dtype=float32)",-7.43867301940918,0.43085044622421265,7.439260959625244
28,"tf.Tensor(
[[13.39441  ]
 [15.977764 ]
 [ 8.401011 ]
 [16.35762  ]
 [-1.5384398]
 [ 2.8072715]
 [14.112797 ]
 [-0.4432053]
 [12.49132  ]
 [ 4.201922 ]
 [ 8.713523 ]
 [ 8.523428 ]
 [-1.162887 ]
 [ 8.02848  ]
 [12.593236 ]
 [ 7.6999083]], shape=(16, 1), dtype=float32)",-4.978448867797852,0.2682229280471802,4.985310077667236
29,"tf.Tensor(
[[ 8.993653 ]
 [ 9.870003 ]
 [ 3.4561515]
 [18.815063 ]
 [10.834212 ]
 [14.56585  ]
 [ 1.5143583]
 [ 9.914331 ]
 [ 6.213696 ]
 [ 9.701943 ]
 [ 3.842266 ]
 [ 1.4492937]
 [12.039442 ]
 [ 8.049853 ]
 [ 5.1138086]
 [12.980038 ]], shape=(16, 1), dtype=float32)",-4.999008655548096,0.0361330583691597,5.005730628967285
30,"tf.Tensor(
[[15.396011 ]
 [20.789719 ]
 [ 3.3917067]
 [ 8.794843 ]
 [ 6.9658756]
 [-1.371504 ]
 [18.527136 ]
 [ 8.042383 ]
 [23.067568 ]
 [25.698322 ]
 [11.76428  ]
 [10.098468 ]
 [22.710825 ]
 [ 5.9361725]
 [-0.6570495]
 [ 7.201046 ]], shape=(16, 1), dtype=float32)",-3.251365900039673,0.20738181471824646,3.289356231689453
31,"tf.Tensor(
[[ 3.5231416]
 [-1.5514214]
 [ 1.1282367]
 [ 0.7648148]
 [ 6.9443016]
 [ 0.8488011]
 [ 6.6254053]
 [ 3.7489302]
 [ 1.1711726]
 [ 1.1068726]
 [15.220364 ]
 [13.944969 ]
 [ 6.9082546]
 [ 2.2779887]
 [ 6.0160775]
 [ 3.757942 ]], shape=(16, 1), dtype=float32)",-7.468371391296387,0.2191167175769806,7.468942165374756
